site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_6,ds_hx10,downstream,pool,xs3,40.077652,0.01228825,1.069,0.6,4.21,2.89,8.127,3.938,34.874,34.875
site_6,ds_hx10,downstream,riffle,xs4,40.077652,0.01228825,0.356,0.202,3.862,0.892,23.694,10.849,34.806,34.746
site_6,ds_hx10,downstream,pool,xs5,40.077652,0.01228825,1.428,0.774,6.312,4.845,6.524,4.42,34.974,34.974
site_6,ds_hx10,downstream,riffle,xs6,40.077652,0.01228825,0.405,0.182,4.043,2.069,23.002,9.984,34.62,34.904
site_6,ds_hx10,downstream,pool,xs7,40.077652,0.01228825,0.804,0.472,5.159,3.093,11.587,6.416,34.681,35.162
site_6,ds_hx10,downstream,riffle,xs8,40.077652,0.01228825,0.387,0.223,2.939,2.022,24.072,7.595,34.646,34.488
site_7,us_hx11,upstream,riffle,xs8,40.077652,0.01228825,0.742,0.354,4.623,2.006,9.001,6.231,33.3,33.415
site_7,us_hx11,upstream,pool,xs7,40.077652,0.01228825,1.759,1.053,5.488,7.945,4.284,3.12,33.392,33.757
site_7,us_hx11,upstream,riffle,xs6,40.077652,0.01228825,1,0.518,6.191,3.314,6.629,6.191,33.287,33.448
site_7,us_hx11,upstream,pool,xs5,40.077652,0.01228825,1.407,0.755,5.294,4.592,5.061,3.763,33.215,33.226
site_7,us_hx11,upstream,riffle,xs4,40.077652,0.01228825,0.662,0.371,4.46,1.826,9.852,6.737,33.014,33.142
site_7,us_hx11,upstream,pool,xs3,40.077652,0.01228825,2.273,1.307,6.983,10.529,3.376,3.072,33.214,33.219
site_7,us_hx11,upstream,riffle,xs2,40.077652,0.01228825,1.233,0.777,6.966,6.52,5.124,5.65,32.978,33.185
site_7,us_hx11,upstream,pool,xs1,40.077652,0.01228825,1.455,0.819,4.184,4.668,4.47,2.876,33.031,33.144
site_7,ds_hx11,downstream,pool,xs1,42.380054,0.03045469,1.892,1.033,8.402,10.834,3.619,4.441,33.284,33.128
site_7,ds_hx11,downstream,riffle,xs2,42.380054,0.03045469,0.563,0.222,5.635,1.386,11.97,10.009,32.691,32.587
