Long,Lat,Desc,pos,bkf_W,bkf_D
145.4682467,-38.05428926,down_xs5_riffle,,5.989068876,-4.369
145.4682433,-38.05428682,down_xs5_riffle,,6.361317631,-4.738
145.4682386,-38.05428464,down_xs5_riffle,,6.827999488,-5.077
145.4682338,-38.05428386,down_xs5_riffle,bkf,7.256562341,-5.297
145.4682302,-38.05428234,down_xs5_riffle,,7.607849236,-5.678
145.4682292,-38.05428199,down_xs5_riffle,bkf_WL,7.703607596,-5.803
145.4682277,-38.05428105,down_xs5_riffle,,7.868047089,-5.919
145.4682267,-38.0542811,down_xs5_riffle,,7.945816509,-5.934
145.4682232,-38.05427976,down_xs5_riffle,,8.290191132,-5.967
145.4682179,-38.05428003,down_xs5_riffle,,8.713873134,-6.02
145.4682136,-38.0542778,down_xs5_riffle,bkf_M,9.152809951,-6.136
145.4682088,-38.0542765,down_xs5_riffle,bkf_M,9.597077264,-6.084
145.4682048,-38.05427468,down_xs5_riffle,,9.992505642,-5.948
145.4682002,-38.05427286,down_xs5_riffle,,10.4462443,-5.924
145.4681978,-38.0542719,down_xs5_riffle,bkf_WL,10.68440097,-5.798
145.4681953,-38.05427132,down_xs5_riffle,,10.90984147,-5.757
145.468191,-38.05427051,down_xs5_riffle,bkf,11.29506197,-5.297
145.468186,-38.05426876,down_xs5_riffle,,11.77644853,-4.611
145.4681776,-38.05426531,down_xs5_riffle,,12.59808767,-4.175
145.4681702,-38.05426323,down_xs5_riffle,,13.2853009,-3.603
145.4681568,-38.05425877,down_xs5_riffle,,14.5630788,-3.096
145.4681463,-38.05425589,down_xs5_riffle,,15.53417838,-2.707
145.4681345,-38.05425151,down_xs5_riffle,,16.67831292,-1.98
145.4681213,-38.05424781,down_xs5_riffle,,17.90647606,-1.053
145.4681137,-38.05422285,down_xs5_riffle,,19.68840801,-0.105
145.4681136,-38.05422249,down_xs5_riffle,,19.71672785,-0.143
145.4682839,-38.05441285,down_xs6_pool,,0,0
145.4682712,-38.05441083,down_xs6_pool,,1.137001759,-0.211
145.4682651,-38.05440917,down_xs6_pool,,1.705335158,-0.657
