site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_6,ds_hx10,downstream,40.077652,0.01228825,pool,xs7,0.804,0.472,5.159,3.093,11.587,6.416,34.681,35.162,8.027,3.862,51.546,
site_6,ds_hx10,downstream,40.077652,0.01228825,riffle,xs8,0.387,0.223,2.939,2.022,24.072,7.595,34.646,34.488,6.940,1.009,,14.967
site_7,us_hx11,upstream,40.077652,0.01228825,riffle,xs8,0.742,0.354,4.623,2.006,9.001,6.231,33.3,33.415,,,,
site_7,us_hx11,upstream,40.077652,0.01228825,pool,xs7,1.759,1.053,5.488,7.945,4.284,3.12,33.392,33.757,31.546,0.761,,
site_7,us_hx11,upstream,40.077652,0.01228825,riffle,xs6,1,0.518,6.191,3.314,6.629,6.191,33.287,33.448,10.264,0.390,,41.810
site_7,us_hx11,upstream,40.077652,0.01228825,pool,xs5,1.407,0.755,5.294,4.592,5.061,3.763,33.215,33.226,7.495,0.400,17.759,
site_7,us_hx11,upstream,40.077652,0.01228825,riffle,xs4,0.662,0.371,4.46,1.826,9.852,6.737,33.014,33.142,12.164,0.329,,19.659
site_7,us_hx11,upstream,40.077652,0.01228825,pool,xs3,2.273,1.307,6.983,10.529,3.376,3.072,33.214,33.219,10.885,0.551,23.049,
site_7,us_hx11,upstream,40.077652,0.01228825,riffle,xs2,1.233,0.777,6.966,6.52,5.124,5.65,32.978,33.185,20.899,0.622,,31.784
site_7,us_hx11,upstream,40.077652,0.01228825,pool,xs1,1.455,0.819,4.184,4.668,4.47,2.876,33.031,33.144,32.122,0.841,1.463,
site_7,ds_hx11,downstream,42.380054,0.03045469,pool,xs1,1.892,1.033,8.402,10.834,3.619,4.441,33.284,33.128,,,,
site_7,ds_hx11,downstream,42.380054,0.03045469,riffle,xs2,0.563,0.222,5.635,1.386,11.97,10.009,32.691,32.587,48.028,0.604,,
site_7,ds_hx11,downstream,42.380054,0.03045469,pool,xs3,1.237,0.706,8.806,7.404,3.639,7.119,32.691,32.587,19.094,0.681,67.122,
site_7,ds_hx11,downstream,42.380054,0.03045469,riffle,xs4,0.611,0.377,4.891,2.132,9.385,8.004,32.132,32.419,40.723,0.491,,59.817
site_7,ds_hx11,downstream,42.380054,0.03045469,pool,xs5,1.835,1.129,3.946,5.676,4.098,2.15,32.288,32.433,14.445,0.277,55.168,
site_7,ds_hx11,downstream,42.380054,0.03045469,riffle,xs6,0.791,0.504,4.975,3.101,7.434,6.289,32.484,32.105,26.680,0.300,,41.125
site_7,ds_hx11,downstream,42.380054,0.03045469,pool,xs7,1.003,0.587,2.783,2.111,6.629,2.775,32.473,31.888,5.495,0.182,32.175,
site_7,ds_hx11,downstream,42.380054,0.03045469,riffle,xs8,0.598,0.304,4.422,1.65,10.431,7.394,32.091,31.896,7.534,0.398,,13.029
site_7,ds_hx11,downstream,42.380054,0.03045469,pool,xs9,1.375,0.635,4.319,3.348,4.874,3.141,31.996,31.816,24.429,0.614,31.963,
